word	syllables	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
absint	2	-	hořký silný likér (ve většině zemí zakázaný)	вещество	u	nt	ai	i	-0.0011104518624786095	-5.807500184316373e-5
acylpyrin	4	in	lék snižující teplotu, utišující bolest, působící proti revmatizmu, obdoba aspirinu; antirevmatikum, antipyretikum	NA	u	n	ayyi	i	-0.0016763199793735535	-0.0015518138199894019
adaptér	3	-	zařízení rozšiřující původní použitelnost	NA	u	r	aaé	é	-3.29990542048037e-4	1.676720828584286e-4
adrenalin	4	in	hormon dřeně nadledvinek;epinerfin	NA	u	n	aeai	i	-0.0016763199793734757	-0.0015518138199894548
adresář	3	ář	NOT FOUND	NA	u	ř	aeá	á	0.0013792022092152824	-0.008048071400743262
advent	2	-	příchod; doba duchovní přípravy na Vánoce v období čtyř týdnů před svátky; doba očekávání, naděje	NA	u	nt	ae	e	0.0015973284656577923	8.577239074784307e-4
afekt	2	-	neodpovídající přehnaná reakce,vzrušení, citové rozrušení	NA	u	kt	ae	e	0.0011105280266165889	7.896424951069642e-4
agens	2	-	původce, činitel, účinná látka, příčina nemoci; chem. činidlo	NA	u	ns	ae	e	0.0011814377047186754	6.42613309394395e-4
agregát	3	-	spojení, propojení, seskupení (krystalů, strojů, ukazatelů)	NA	u	t	aeá	á	5.598169674204037e-4	-0.002473785977383776
akcelerátor	5	-	urychlovač, zrychlovač; zařízení, kterým se urychluje určitá činnost, děj; plynový pedál automobilu	NA	u	r	aeeáo	o	-0.0022800130557269656	0.002269923534971707
akcent	2	-	důraz; přízvuk	NA	u	nt	ae	e	0.0015973284656577923	8.577239074784307e-4
akord	2	-	1. souzvuk nejméně tří tónů; 2.úkolová práce	NA	u	rd	ao	o	-0.0017205436935812154	6.897058214839338e-4
akordeon	4	-	tahací harmonika s klávesnicí	артефакт	u	n	aoeo	o	-0.0016829200080736477	-5.160425801696661e-4
akr	1	-	1. stará plošná jednotka; 2. acre [ejkr]- britsko-americká plošná jednotka rovná 4 046,873 m2	NA	u	kr	a	a	-0.002296815900455392	-6.69893691910625e-4
akt	1	-	1. čin, výkon; 2. dějství; 3. výtv. umění-dílo zobrazující nahý lidský model	NA	u	kt	a	a	-0.0017130554183229308	-4.4557154191713705e-4
akumulátor	5	-	zařízení, které umožňuje hromadění energie a její následné využití	артефакт	u	r	auuáo	o	-0.002590522746832233	0.002162615384928115
akvarel	3	-	malba vodovými barvami	артефакт	u	l	aae	e	0.001398486688473725	2.558163014655586e-4
akát	2	-	NOT FOUND	NA	u	t	aá	á	-1.0675365004463532e-4	-0.0025077461660834976
alarm	2	-	poplach	абстрактное понятие	u	rm	aa	a	-0.002002651660418607	-0.001285491422712431
alkohol	3	-	1. některý z hydroxyderivátů alifatických a dalších nearomatických uhlovodíků; 2. obecný název pro etanol; 3. opojný nápoj, lihovina	вещество	u	l	aoo	o	-5.311304847716929e-4	2.5117315508197064e-4
alkoholismus	5	-	chorobný návyk, závislost na požívání alkoholu	абстрактное понятие	u	s	aooiu	u	-0.003720894941113738	0.00476901535421602
almanach	3	-	sborník, ročenka	артефакт	u	ch	aaa	a	-7.824885005193203e-4	-0.0017195432913370038
alobal	3	-	obchodní název hliníkové fólie	NA	u	l	aoa	a	-2.0406463395539944e-4	-0.001237910042004564
alt	1	-	hluboký ženský nebo chlapecký hlas	NA	u	lt	a	a	-0.002273860059883655	-3.3974844995218745e-4
altán	2	án	menší zastřešená, zčásti otevřená stavba, besídka	NA	u	n	aá	á	-1.7870462425440225e-5	-0.004207851686551933
altánek	3	ek	NOT FOUND	NA	u	k	aáe	e	0.005530102585663734	4.986914634799517e-4
amoniak	4	-	čpavek	вещество	u	k	aoia	a	-8.354621608224804e-5	-0.0018307340928768012
amplion	3	-	zařízení zesilující zvuk	NA	u	n	aio	o	-4.0222228801888694e-4	2.601200757509148e-4
amulet	3	-	drobný předmět nošený při sobě na ochranu nebo pro štěstí, talisman	артефакт	u	t	aue	e	0.0015928764385465734	3.2277294103603813e-4
anachronismus	5	-	nerespektování souvislostí v čase co odporuje dané době; zařazení do jiné doby, než je správné; přežitek	абстрактное понятие	u	s	aaoiu	u	-0.003720894941113708	0.004769015354216007
analyzátor	5	-	přístroj k stanovení složek, k rozložení, třídění sledované velićiny, k vyhodnocování naměřených veličin nebo závislostí	NA	u	r	aayáo	o	-0.002280013055726963	0.002269923534971704
ananas	3	-	NOT FOUND	NA	u	s	aaa	a	-8.317746490765854e-4	-0.0012700744395440064
android	3	-	umělý člověk, robot jako napodobenina člověka	NA	u	d	aoi	i	-6.483791647176532e-4	1.3369822654012378e-4
anonym	3	-	utajený, neznámý, nepodepsaný tvůrce nebo původce; anonymní výtvor; nepodepsaný dopis	NA	u	m	aoy	y	-3.4243408912889217e-4	6.104074572007796e-4
antagonismus	5	-	NOT FOUND	абстрактное понятие	u	s	aaoiu	u	-0.003720894941113708	0.004769015354216007
antisemitismus	6	-	postoje a projevy rasové, národnostní a náboženské nesnášenlivosti, nepřátelství a nenávisti vůči Židům	абстрактное понятие	u	s	aieiiu	u	-0.004332516214157242	0.004614254355742525
antrax	2	-	NOT FOUND	NA	u	x	aa	a	-0.0012896824573471691	-0.0014211507134320386
aparát	3	-	1. přístroj; 2. ústrojí, soustava orgánů se zvláštní funkcí; 3. orgány veřejné správy	артефакт	u	t	aaá	á	1.8440691912523132e-4	-0.002064271226014415
aperitiv	4	-	alkoholický nápoj podávaný před jídlem ke zlepšení chuti	NA	u	v	aeii	i	-0.0015918729893826577	-5.442240491637687e-4
apex	2	-	1. koneček, vrchol některých orgánů; 2. bod na obloze, ke kterému směřuje v daném okamžiku kosmické těleso	NA	u	x	ae	e	0.0010934622409919737	8.591708412965249e-4
aplaus	3	-	potlesk	NA	u	s	aau	u	-0.0012831605721737537	0.002068893907859242
aplikátor	4	-	NOT FOUND	NA	u	r	aiáo	o	-0.001453398320705371	-1.924708789916868e-4
