word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
absint	-	+	2	nt	ai	i		"hořký silný likér (ve většině zemí zakázaný)"	вещество
acylpyrin	-	+	4	n	ayyi	i	in	"lék snižující teplotu, utišující bolest, působící proti revmatizmu, obdoba aspirinu; antirevmatikum, antipyretikum"	
adaptér	-	+	3	r	aaé	é		"zařízení rozšiřující původní použitelnost"	
adrenalin	-	+	4	n	aeai	i	in	"hormon dřeně nadledvinek;epinerfin"	
adresář	-	-	3	ř	aeá	á	ář	NOT FOUND	
advent	-	+	2	nt	ae	e		"příchod; doba duchovní přípravy na Vánoce v období čtyř týdnů před svátky; doba očekávání, naděje"	
afekt	-	+	2	kt	ae	e		"neodpovídající přehnaná reakce,vzrušení, citové rozrušení"	
agens	-	+	2	ns	ae	e		"původce, činitel, účinná látka, příčina nemoci; chem. činidlo"	
agregát	-	+	3	t	aeá	á		"spojení, propojení, seskupení (krystalů, strojů, ukazatelů)"	
akcelerátor	-	+	5	r	aeeáo	o		"urychlovač, zrychlovač; zařízení, kterým se urychluje určitá činnost, děj; plynový pedál automobilu"	
akcent	-	+	2	nt	ae	e		"důraz; přízvuk"	
akord	-	+	2	rd	ao	o		"1. souzvuk nejméně tří tónů; 2.úkolová práce"	
akordeon	-	+	4	n	aoeo	o		"tahací harmonika s klávesnicí"	артефакт
akr	-	+	1	kr	a	a		"1. stará plošná jednotka; 2. acre [ejkr]- britsko-americká plošná jednotka rovná 4 046,873 m2"	
akt	-	+	1	kt	a	a		"1. čin, výkon; 2. dějství; 3. výtv. umění-dílo zobrazující nahý lidský model"	
akumulátor	-	+	5	r	auuáo	o		"zařízení, které umožňuje hromadění energie a její následné využití"	артефакт
akvarel	-	+	3	l	aae	e		"malba vodovými barvami"	артефакт
akát	-	+	2	t	aá	á		NOT FOUND	
alarm	-	+	2	rm	aa	a		"poplach"	абстрактное понятие
alkohol	-	+	3	l	aoo	o		"1. některý z hydroxyderivátů alifatických a dalších nearomatických uhlovodíků; 2. obecný název pro etanol; 3. opojný nápoj, lihovina"	вещество
alkoholismus	-	+	5	s	aooiu	u		"chorobný návyk, závislost na požívání alkoholu"	абстрактное понятие
almanach	-	+	3	ch	aaa	a		"sborník, ročenka"	артефакт
alobal	-	+	3	l	aoa	a		"obchodní název hliníkové fólie"	
alt	-	+	1	lt	a	a		"hluboký ženský nebo chlapecký hlas"	
altán	-	+	2	n	aá	á	án	"menší zastřešená, zčásti otevřená stavba, besídka"	
altánek	-	+	3	k	aáe	e	ek	NOT FOUND	
amoniak	-	+	4	k	aoia	a		"čpavek"	вещество
amplion	-	+	3	n	aio	o		"zařízení zesilující zvuk"	
amulet	-	+	3	t	aue	e		"drobný předmět nošený při sobě na ochranu nebo pro štěstí, talisman"	артефакт
anachronismus	-	+	5	s	aaoiu	u		"nerespektování souvislostí v čase co odporuje dané době; zařazení do jiné doby, než je správné; přežitek"	абстрактное понятие
analyzátor	-	+	5	r	aayáo	o		"přístroj k stanovení složek, k rozložení, třídění sledované velićiny, k vyhodnocování naměřených veličin nebo závislostí"	
ananas	-	+	3	s	aaa	a		NOT FOUND	
android	-	+	3	d	aoi	i		"umělý člověk, robot jako napodobenina člověka"	
anonym	-	+	3	m	aoy	y		"utajený, neznámý, nepodepsaný tvůrce nebo původce; anonymní výtvor; nepodepsaný dopis"	
antagonismus	-	+	5	s	aaoiu	u		NOT FOUND	абстрактное понятие
antisemitismus	-	+	6	s	aieiiu	u		"postoje a projevy rasové, národnostní a náboženské nesnášenlivosti, nepřátelství a nenávisti vůči Židům"	абстрактное понятие
antrax	-	+	2	x	aa	a		NOT FOUND	
aparát	-	+	3	t	aaá	á		"1. přístroj; 2. ústrojí, soustava orgánů se zvláštní funkcí; 3. orgány veřejné správy"	артефакт
aperitiv	-	+	4	v	aeii	i		"alkoholický nápoj podávaný před jídlem ke zlepšení chuti"	
apex	-	+	2	x	ae	e		"1. koneček, vrchol některých orgánů; 2. bod na obloze, ke kterému směřuje v daném okamžiku kosmické těleso"	
aplaus	-	+	3	s	aau	u		"potlesk"	
aplikátor	-	+	4	r	aiáo	o		NOT FOUND	
apokryf	-	+	3	f	aoy	y		"nepůvodní, podvržený spis; literární útvar používající známý motiv k alegorickému anebo parodickému srovnání s výkladem autora"	
arašíd	-	+	3	d	aaí	í		"burský oříšek, pražený plod podzemnice olejné, burák"	
arch	-	+	1	rch	a	a		"1. list papíru různé velikosti; 2. otisk tiskové formy poštovních cenin"	
archetyp	-	+	3	p	aey	y		"pravzor, původní typ; výchovou i kulturou předávaný a přejímaný vzor"	абстрактное понятие
archiv	-	+	2	v	ai	i		"soubor písemností a dalších záznamů dokumentárního typu; instituce takové soubory shromažďující; budova nebo místnost, kde je takový soubor uložen"	
areál	-	+	3	l	aeá	á		"vymezená část území, oblast, okolí, prostor; oblast rozšíření určitého taxonu"	
argument	-	+	3	nt	aue	e		"1. důkaz, důvod; 2. úhel, který svírá v Gaussově komplexní rovině průvodič bodu s kladným směrem osy x; 3. nezávisle proměnná veličina určité funkce"	абстрактное понятие
arkýř	-	-	2	ř	aý	ý		"uzavřená část obytného domu vyčnívající z průčelí a spočívající na podpěrách"	
arsen	-	+	2	n	ae	e		"křehký stříbrošedý kov, jehož sloučeniny jsou prudce jedovaté"	
artefakt	-	+	3	kt	aea	a		"umělý výtvor, lidský výrobek; 1. prehistorický nástroj; 2. uměle vzniklá nebo pozměněná struktura buněk"	артефакт
artikl	-	+	2	kl	ai	i		"zboží, předmět obchodování"	
arzenál	-	+	3	l	aeá	á		"skladiště, zásobárna, obv. zbraní; zásoba prostředků"	
asfalt	-	+	2	lt	aa	a		"druh přívodní nebo syntetické živice hnědočerné až černé barvy"	
aspekt	-	+	2	kt	ae	e		"stanovisko, pohled, hledisko, zřetel, vzhled; význačná poloha kosmického objektu vzhledem ke Slunci"	абстрактное понятие
ateliér	-	+	4	r	aeié	é		"1. pracovna umělce, umělecká dílna; 2. krytý prostor k natáčení filmů"	
atentát	-	+	3	t	aeá	á		"útok na život významné osoby, obv. z politických příčin"	
atest	-	+	2	st	ae	e		"ověřená listina; písemné osvědčení určitých vlastností výrobku, atestace"	артефакт
atol	-	+	2	l	ao	o		"korálový ostrov s vnitřní lagunou"	
atribut	-	+	3	t	aiu	u		"neodlučitelná vlastnost, podstatný znak; přívlastek"	абстрактное понятие
audit	-	+	3	t	aui	i		"revize účtů, účetnictví, auditing"	
aut	-	+	2	t	au	u		"zahrání míče mimo vymezený hrací prostor"	
autobus	-	+	4	s	auou	u		NOT FOUND	артефакт
autogram	-	+	4	m	auoa	a		"vlastnoruční podpis autora"	
autokar	-	+	4	r	auoa	a		"turistický autobus"	артефакт
automat	-	+	4	t	auoa	a		"1. pracovní nebo výrobní stroj pracující po zapnutí samočinně bez lidské obsluhy; 2. samočinný vypínač, jistič; 3. jídelna se samoobsluhou; 4. automatická zbraň"	артефакт
automatismus	-	+	6	s	auoaiu	u		"mechanická činnost, mechanické chápání"	абстрактное понятие
automobil	-	+	5	l	auooi	i		NOT FOUND	артефакт
autoservis	-	+	5	s	auoei	i		"opravna automobilů"	
autostop	-	+	4	p	auoo	o		"1. zastavování projíždějících vozidel za účelem osobní přepravy; 2. zařízení k samočinnému zastavení vlaku, vlakové zabezpečovací zařízení"	
axiom	-	+	3	m	aio	o		"postulát, tvrzení; základní nedokazatelná věta, samozřejmá i bez důkazu"	
azimut	-	+	3	t	aiu	u		"směrový úhel, vodorovný úhel mezi vertikální rovinou obsahující daný směr a rovinou místního poledníku"	
azur	-	+	2	r	au	u		"blankyt, blankytná modř"	
azyl	-	+	2	l	ay	y		"útočiště, útulek; povolení pobytu poskytované cizím státním příslušníkům z politických důvodů"	
babylón	-	+	3	n	ayó	ó		"zmatek, chaos, zejm. jazykový; bludiště"	
bagr	-	+	1	gr	a	a		"rypadlo"	артефакт
bajonet	-	+	3	t	aoe	e		"bodák k nasazení na pušku"	артефакт
bajt	-	+	1	jt	a	a		"jednotka informace sestávající z osmi bitů"	
bakšiš	-	-	2	š	ai	i		"spropitné; drobný peníz"	
balast	-	+	2	st	aa	a		"zbytečnost"	
balkon	-	+	2	n	ao	o		NOT FOUND	
balkón	-	+	2	n	aó	ó		NOT FOUND	
balon	-	+	2	n	ao	o		NOT FOUND	
balonek	-	+	3	k	aoe	e	ek	NOT FOUND	
balvan	-	+	2	n	aa	a	an	NOT FOUND	
balík	-	+	2	k	aí	í		NOT FOUND	
balíček	-	+	3	k	aíe	e	ek	NOT FOUND	
balónek	-	+	3	k	aóe	e	ek	NOT FOUND	
