word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
абажур	+	-	3	р	аау	у		"колпак для лампы, светильника"	
абажурчик	+	-	4	к	аауи	и	чик	NOT FOUND	
абаз	+	-	2	з	аа	а		"[перс.] —восточная мелкая серебряная монета, распространенная в старинуна кавказе."	
абак	+	-	2	к	аа	а		"[гр. abax (abakos), лат. abacus] — 1) архит. также абака — верхняячасть капители, обычно имеет форму четырехугольной плиты; 2) доска с полосами,по которым передвигались камешки или кости; применялась для арифметическихвычислений в др. греции и риме, затем в зап. европе до 18 в."	
абандон	+	-	3	н	аао	о		"[фр. abandon] — мор. отказ грузо-или судовладельца от своих прав назастрахованное имущество в пользу страховщика при обязательстве последнегоуплатить страхователю полную страховую сумму."	
абвер	+	-	2	р	ае	е		"[нем. abwehr, сокр. от auslandsnach-richten- und abwehramt] — военнаяразведка и контрразведка гитлеровской германии."	
абдомен	+	-	3	н	аое	е		"[ лат. abdomen живот] — брюшко, задний отдел тела членистоногихживотных."	
абдуктор	+	-	3	р	ауо	о		"[ лат. abducere отводить] — анат. отводящая мышца (ср.аддуктор; см. абдукция)."	
абелит	+	-	3	т	аеи	и		NOT FOUND	
абзац	+	-	2	ц	аа	а		"красная строка, отступ в начале строки; текст между двумя такими отступами"	
абиетин	+	-	4	н	аиеи	и	ин	NOT FOUND	
аблатив	+	-	3	в	ааи	и	ив	"[лат. (casus) ablativus] — ерам, отложительный падеж в нек-рыхязыках; по значению может соответствовать в русском языке родительному падежу спредлогами «от», «из», «с» или творительному падежу."	
аблятив	+	-	3	в	аяи	и	ив	"— см. аблатив."	
абляут	+	-	3	т	аяу	у		"— см. аблаут."	
аболиционизм	+	-	6	зм	аоииои	и	изм	"[англ, abolitionism лат.&quot; abolitio отмена,уничтожение] — 1) общественное движение, добивающееся отмены какого-л, закона;2) в сша в 18—19 вв. — движение за отмену рабства негров."	
абонемент	+	-	4	нт	аоее	е		"документ, предоставляющий право на пользование чем-нибудь, какое-нибудь обслуживание; само такое право"	
абордаж	+	-	3	ж	аоа	а		"атака корабля противника при непосредственном сближении с ним для рукопашного боя"	
аборт	+	-	2	рт	ао	о		"преждевременное прерывание беременности, самопроизвольное или искусственное, выкидыш"	
абортарий	+	-	4	й	аоаи	и	арий	NOT FOUND	
абразив	+	-	3	в	ааи	и	ив	"твердое мелкозернистое или порошкообразное вещество (кремень наждак, корунд, карборунд, пемза, гранат) применяемое для шлифовки, полировки, заточки"	вещество
абрикос	+	-	3	с	аио	о		"южное фруктовое дерево семейства розоцветных, дающее сочные плоды с крупной косточкой; плод его"	растение
абрикотин	+	-	4	н	аиои	и	ин	NOT FOUND	
абрис	+	-	2	с	аи	и		"очертание предмета, контур"	
абсент	+	-	2	нт	ае	е		"[фр. absinthe] — спиртной напиток, настойка на полыни,"	
абсентеизм	+	-	4	зм	аееи	и	изм	"уклонение избирателей от участия в выборах в государст венные органы"	
абсолют	+	-	3	т	аою	ю		"вечная, неизменная первооснова всего существующего (дух, идея, божество); нечто самодовлеющее, независимое от каких-нибудь условий и отношений"	
абсолютив	+	-	4	в	аоюи	и	ив	NOT FOUND	
абсолютизм	+	-	4	зм	аоюи	и	изм	"форма правления, при которой верховная власть целиком принадлежит самодержав ному монарху, неограниченная монархия"	
