word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
abonmán	-	+	3	n	aoá	á		"-upredplatenie; predplatné (na časopis, do divadla ap.)"	
absentér	+	-	3	r	aeé	é		"-akto často neodôvodnene zameškáva prácu"	
absolutista	-	+	5		aouia	a		NOT FOUND	
absolutizmus	-	+	5	s	aouiu	u		NOT FOUND	абстрактное понятие
acetón	-	+	3	n	aeó	ó		"-uorg. rozpúšťadlo;"	вещество
acetylén	-	+	4	n	aeyé	é		"-uzápalný plyn použ. pri zváraní kovov a na svietenie;"	вещество
achát	-	+	2	t	aá	á		"-umnohofarebný polodrahokam chalcedón"	
áčkar	+	-	2	r	áa	a		NOT FOUND	
acylpyrín	-	+	4	n	ayyí	í	ín	"-uliek použ. pri prechladnutí, bolesti hlavy ap."	
adept	+	-	2	pt	ae	e		"-azačiatočník (vo vede, umení, v praktickej činnosti);"	
administrátor	+	-	5	r	aiiáo	o		"-a 1. správca administrácie2. správca farnosti;"	
adresát	+	-	3	t	aeá	á		"-a 1. osoba, ktorej je určená zásielka2. osoba, ktorej je určený prejav: nájsť a-adostať sa k príslušnej osobe;"	
aerobik	-	+	4	k	aeoi	i	ik	"[a-ero-] -urytmické gymnastické cvičenie pri hudbe s dôrazom na dýchacie cviky: vlna módneho a-u už prešla"	
aerodróm	-	+	4	m	aeoó	ó		NOT FOUND	
aeroklub	-	+	4	b	aeou	u		"[a-ero-] -uspolok šport. letcov, parašutistov a priateľov letectva"	
aerotaxík	+	-	5	k	aeoaí	í	ík	NOT FOUND	
agát	+	-	2	t	aá	á		"-atŕnitý strom so strapcami bielych kvetov, ;"	
agrárnik	+	-	3	k	aái	i	ik	"-a-ci 1. bohatý roľník, statkár v 1. ČSR2. príslušník býv. agrárnej strany;"	
agregát	-	+	3	t	aeá	á		"-uzoskupenie, stmelenie: kombajnový a.; hrubozrnný a."	артефакт
agremán	-	+	3	n	aeá	á		"-u súhlas vlády s ustanovením dipl. zástupcu cudzej krajiny vo vlastnom štáte"	
agresor	+	-	3	r	aeo	o		"-akto robí agresiu, útočník"	
agrobiológ	+	-	5	g	aoioó	ó		NOT FOUND	
agrokomplex	-	+	4	x	aooe	e		"-ucelok zahŕňajúci poľnohospodársku výrobu a priemyselné odvetvia spracúvajúce poľnohospodárske výrobky al. poskytujúce poľnohospodárske výr. prostriedky"	
agronóm	+	-	3	m	aoó	ó		"-a-i/-oviaodborník v agronómii;"	
