word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
абажур	+	-	3	р	аау	у		"а, Дашок різної форми і з різного матеріалу на лампу (свічку і т. ін.) для захисту очей від світла або для зосередження світла в певному напрямі"	артефакт
аболіціонізм	-	+	6	зм	аоііоі	і	ізм	"у, Суспільний рух у США кінця XVIII — першої половини XIX ст., спрямований на скасування рабства негрів, яке затримувало розвиток капіталізму"	абстрактное понятие
абонемент	+	-	4	нт	аоее	е		"а, 1. Право користуватися, за плату або безплатно, чим-небудь (телефоном, місцем у театрі, книжками з бібліотеки і т. ін.) протягом певного часу; документ, що посвідчує це право. 2. Реєстрова бібліотечна картка читача-абонента"	
аборт	-	+	2	рт	ао	о		"у, мед. Передчасне переривання вагітності. ▲ Природний аборт — передчасне припинення вагітності, викликане ненормальностями в розвитку плоду або в організмі матері; викидень"	
абрикос	+	-	3	с	аио	о		"а, Те саме, що абрикоса"	растение
абстракціонізм	-	+	5	зм	ааіоі	і	ізм	"у, Формалістичний занепадницький напрям у буржуазному образотворчому мистецтві XX ст. Сюрреалізм, абстракціонізм та інші напрями і течії сучасного буржуазного мистецтва чужі і ворожі великим традиціям Есхіла, Рафаеля, Шекспіра, Гете, Пушкіна, Шевченка, Репіна, Толстого та інших геніальних творців художньої культури людства Сучасний абстракціонізм у мистецтві веде свій родовід од модерністських напрямів кінця XIX і початку XX ст"	абстрактное понятие
абсурд	-	+	2	рд	ау	у		"у, Безглуздя, нісенітниця. Коли тільки переклад написаний доволі граматично і не грішить надто видними абсурдами, знаходяться редактори.., що надрукують його Ніколи і на думку не спало б, що мої наміри відносно Людмили можна і так тлумачити. Який абсурд  Доводити (довести) до абсурду що — доводити що-небудь до крайності, до очевидного безглуздя. Найвірніший засіб дискредитувати нову політичну.. ідею і пошкодити їй полягає в тому, щоб, в ім'я захисту її, довести її до абсурду Доходити (дійти) до абсурду — у своїх діях, вчинках і т. ін. доходити до крайності, до безглуздя. До якого абсурду доходить актор, коли він користується театром для самопоказування!"	абстрактное понятие
авангард	-	+	3	рд	ааа	а		"у, 1. Частина військ (або флоту), що йде попереду головних сил. Обвішаний патронами авангард був наче з заліза. Чубенко дивився на карту і вів далі В районі Каховки килигеївці безпосередньо зіткнулися з денікінськими авангардами 2. перен. Найсвідоміша, найпередовіша частина певної суспільної групи або класу, що веде за собою клас у цілому та інші суспільні групи. Партія — це авангард класу, і завдання її.. в тому, щоб вести маси за собою Бути (виступати, йти і т. ін.) в авангарді кого, чого — бути (виступати, йти і т. ін.) попереду, в перших лавах кого-, чого-небудь. Більшовики були в авангарді революційного штурму капіталізму Письменник.., митець повинен бути в авангарді свого народу"	абстрактное понятие
аванс	-	+	2	нс	аа	а		"у, Частина грошей (або продуктів), яка дається наперед у рахунок майбутньої платні за роботу, товар і т. ін"	
автобус	+	-	3	с	аоу	у		"а, Багатомісний автомобіль для перевезення пасажирів"	
автовокзал	-	+	4	л	аооа	а	л	NOT FOUND	
автовідповідач	+	-	6	ч	аоіоіа	а	ач	NOT FOUND	
автограф	+	-	3	ф	аоа	а		"а, 1. Текст, власноручно написаний автором. 2. Власноручний підпис, напис на книзі, фотографії і т. ін"	
автомат	+	-	3	т	аоа	а	ат	"а, 1. Апарат (машина, прилад), що виконує роботу за допомогою особливого механізму без участі людини.  * У порівняннях. //  перен. Про людину, що діє механічно, машинально. 2. Ручна автоматична скорострільна зброя"	артефакт
автомобіль	+	-	4	ль	аооі	і		"я, Самохідна машина з двигуном внутрішнього згоряння для перевезення пасажирів і вантажів по безрейкових дорогах"	
автомобілізм	-	+	5	зм	аооіі	і	ізм	"у, Автомобільна справа; автомобільний спорт"	абстрактное понятие
автоморфізм	-	+	4	зм	аооі	і	ізм	NOT FOUND	
авторитаризм	-	+	5	зм	аоиаи	и	изм	NOT FOUND	абстрактное понятие
авторитет	-	+	4	т	аоие	е		"1. тільки одн., род. у. Загальновизнане значення, вплив, поважність (особи, організації, колективу, теорії і т. ін.). 2. род. а. Про особу, що користується впливом, повагою, заслуговує повного довір'я"	абстрактное понятие
автосалон	-	+	4	н	аоао	о		NOT FOUND	
автотранспорт	-	+	4	рт	аоао	о		"у, Автомобільний транспорт"	
автохтон	+	-	3	н	аоо	о		"а, книжн. Корінний житель країни або місцевості; абориген, тубілець"	
автошлях	-	+	3	х	аоя	я	х	"у, Шлях для автомобільного руху"	
агент	+	-	2	нт	ае	е		"1, а, 1. Представник, довірена особа організації, установи і т. ін., що виконує різні доручення, завдання. 2. Особа, що є чиїмсь ставлеником, служить чиїмсь інтересам. 3. Таємний співробітник органів розвідки якої-небудь держави, організації; шпигун" АГЕНТ 2, а, книжн. Причина, що викликає ті або інші явища в природі, в організмі людини і т. ін.; чинникагрокомплекс	
агрокомплекс	-	+	4	кс	аоое	е		NOT FOUND	
аероплан	+	-	4	н	аеоа	а		"а, заст. Літак"	артефакт
