word	syllables	hiper_suf	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
abak	2	-	-	NOT FOUND	артефакт	a	k	aa	a	5.018269892542289e-4	-3.2197984781092424e-4
abakan	3	-	-	tkanina artystyczna przypominająca płaskorzeźbę	артефакт	u	n	aaa	a	4.8206565726876426e-4	-3.774457218683163e-4
abakus	3	-	-	górna część głowicy kolumny	часть предмета	a	s	aau	u	5.447786059852652e-4	-5.936904026165608e-4
abandon	3	-	-	zrzeczenie się – na rzecz instytucji ubezpieczającej – statku, który zaginął lub stracił na wartości wskutek wypadku	NA	u	n	aao	o	4.0684562752085583e-4	-3.802109535919176e-4
abażur	3	-	-	osłona na lampę	артефакт	both	r	aau	u	5.9851838957965e-4	-3.646654726512594e-4
abcug	2	-	-	NOT FOUND	NA	u	g	au	u	6.177475287777833e-4	-6.774757976544914e-4
abdomen	3	-	-	brzuch	NA	u	n	aoe	e	3.145621642571365e-4	3.840089632093687e-4
abduktor	3	-	-	mięsień odciągający w bok kończynę	NA	a	r	auo	o	4.4680022460661306e-4	-2.2165143316419774e-4
abecadlnik	4	-	-	NOT FOUND	NA	a	k	aeai	i	-9.366505509078778e-4	-3.5170946971222714e-5
abelit	3	-	-	NOT FOUND	NA	u	t	aei	i	-4.5508260846653035e-4	-2.836194457797373e-4
aberroskop	4	-	-	NOT FOUND	артефакт	u	p	aeoo	o	4.016849932929759e-4	-3.17323368404985e-4
abioseston	5	-	-	NOT FOUND	NA	u	n	aioeo	o	1.4819505736289333e-4	-1.7100695049443955e-4
abisal	3	-	-	najgłębsza strefa oceanów i mórz	NA	both	l	aia	a	3.639960321223429e-4	-3.117354812365066e-4
abisobental	5	-	-	NOT FOUND	NA	u	l	aioea	a	1.5374809725776523e-4	-6.838476039798574e-5
abisopelagial	7	-	-	NOT FOUND	NA	u	l	aioeaia	a	2.3790954407524397e-4	2.207298687516261e-4
ablatiwus	4	-	-	przypadek deklinacji łacińskiej	NA	u	s	aaiu	u	3.264411172476504e-4	-5.028084658402865e-4
ablatyw	3	-	-	NOT FOUND	NA	u	w	aay	y	-4.622365674690574e-4	-3.5534882582381207e-4
abonament	4	-	-	opłacone prawo do korzystania z jakichś usług; też: dowód uiszczenia takiej opłaty	NA	u	nt	aoae	e	2.1056016827004017e-4	6.427178877170152e-4
abordaż	3	-	-	dawny sposób walki na morzu	NA	u	ż	aoa	a	4.2809394851201486e-4	-4.930171471324822e-4
abort	2	-	-	NOT FOUND	NA	u	rt	ao	o	5.863004483481667e-4	-5.33432046232418e-4
abraksas	3	-	-	bóstwo gnostyckie późnej starożytności, które jako magiczne zaklęcie umieszczano na talizmanach	NA	a	s	aaa	a	3.9099460339045905e-4	-4.417917994121337e-4
abrys	2	-	-	NOT FOUND	NA	u	s	ay	y	-1.8138615953118824e-4	-5.633578433294517e-4
absces	2	-	-	ropień	NA	u	s	ae	e	0.00046451629695693853	1.8834512661541265e-4
absmak	2	-	-	nieprzyjemny smak	NA	u	k	aa	a	0.00040218475133424843	-3.432732908417631e-4
