word	syllables	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
абажур	3	-	колпак для лампы, светильника	NA	a	р	аау	у	-3.117402118200915e-4	6.199792321938772e-4
абажурчик	4	чик	NOT FOUND	NA	a	к	аауи	и	0.0013280032885947459	-7.129772445524071e-4
абаз	2	-	[перс.] —восточная мелкая серебряная монета, распространенная в старинуна кавказе.	NA	a	з	аа	а	-3.9888070817017653e-4	7.691008920268712e-4
абак	2	-	[гр. abax (abakos), лат. abacus] — 1) архит. также абака — верхняячасть капители, обычно имеет форму четырехугольной плиты; 2) доска с полосами,по которым передвигались камешки или кости; применялась для арифметическихвычислений в др. греции и риме, затем в зап. европе до 18 в.	NA	a	к	аа	а	-6.053836833140279e-5	6.388155623439094e-4
абандон	3	-	[фр. abandon] — мор. отказ грузо-или судовладельца от своих прав назастрахованное имущество в пользу страховщика при обязательстве последнегоуплатить страхователю полную страховую сумму.	NA	a	н	аао	о	7.923487424754952e-5	4.179326625821081e-4
абвер	2	-	[нем. abwehr, сокр. от auslandsnach-richten- und abwehramt] — военнаяразведка и контрразведка гитлеровской германии.	NA	a	р	ае	е	-8.888488320511597e-4	-5.111111111011838e-6
абдомен	3	-	[ лат. abdomen живот] — брюшко, задний отдел тела членистоногихживотных.	NA	a	н	аое	е	-4.152774039496371e-4	-1.714160648131792e-4
абдуктор	3	-	[ лат. abducere отводить] — анат. отводящая мышца (ср.аддуктор; см. абдукция).	NA	a	р	ауо	о	-7.216207012032112e-5	3.876743972073871e-4
абелит	3	-	NOT FOUND	NA	a	т	аеи	и	7.602448862580772e-4	-2.1342654233667997e-4
абзац	2	-	красная строка, отступ в начале строки; текст между двумя такими отступами	NA	a	ц	аа	а	-7.322164366564118e-4	4.441978852797815e-4
абиетин	4	ин	NOT FOUND	NA	a	н	аиеи	и	0.0010161854269822822	-5.021223536577708e-4
аблатив	3	ив	[лат. (casus) ablativus] — ерам, отложительный падеж в нек-рыхязыках; по значению может соответствовать в русском языке родительному падежу спредлогами «от», «из», «с» или творительному падежу.	NA	a	в	ааи	и	0.0012554272201156108	-3.937015456357788e-4
аблятив	3	ив	— см. аблатив.	NA	a	в	аяи	и	0.0013135095427438505	-4.2122666091243586e-4
абляут	3	-	— см. аблаут.	NA	a	т	аяу	у	-8.786211011588888e-5	5.74045605379585e-4
аболиционизм	6	изм	[англ, abolitionism лат.&quot; abolitio отмена,уничтожение] — 1) общественное движение, добивающееся отмены какого-л, закона;2) в сша в 18—19 вв. — движение за отмену рабства негров.	NA	a	зм	аоииои	и	0.0019041407857228864	-0.002275374977081341
абонемент	4	-	документ, предоставляющий право на пользование чем-нибудь, какое-нибудь обслуживание; само такое право	NA	a	нт	аоее	е	-7.281748455170078e-4	-2.9572871577593054e-4
абордаж	3	-	атака корабля противника при непосредственном сближении с ним для рукопашного боя	NA	a	ж	аоа	а	-2.1457467499404854e-4	8.108620118199658e-4
аборт	2	-	преждевременное прерывание беременности, самопроизвольное или искусственное, выкидыш	NA	a	рт	ао	о	-3.2023430480567443e-4	7.673737185378411e-4
абортарий	4	арий	NOT FOUND	NA	a	й	аоаи	и	0.0013599335191273078	-8.568013663998575e-4
абразив	3	ив	твердое мелкозернистое или порошкообразное вещество (кремень наждак, корунд, карборунд, пемза, гранат) применяемое для шлифовки, полировки, заточки	вещество	a	в	ааи	и	0.0013335096524903112	-4.155689472319514e-4
абрикос	3	-	южное фруктовое дерево семейства розоцветных, дающее сочные плоды с крупной косточкой; плод его	растение	a	с	аио	о	5.184156411071343e-6	6.546837090959076e-4
абрикотин	4	ин	NOT FOUND	NA	a	н	аиои	и	0.001002228457129076	-5.089400950160436e-4
абрис	2	-	очертание предмета, контур	NA	a	с	аи	и	4.041243195836335e-4	1.5135018430667774e-4
абсент	2	-	[фр. absinthe] — спиртной напиток, настойка на полыни,	NA	a	нт	ае	е	-9.077847885674324e-4	-3.289957425192557e-5
абсентеизм	4	изм	уклонение избирателей от участия в выборах в государст венные органы	NA	a	зм	аееи	и	0.0019142778799257109	-0.0014221737330531563
абсолют	3	-	вечная, неизменная первооснова всего существующего (дух, идея, божество); нечто самодовлеющее, независимое от каких-нибудь условий и отношений	NA	a	т	аою	ю	-7.801868999531265e-5	5.62821386521764e-4
абсолютив	4	ив	NOT FOUND	NA	a	в	аоюи	и	0.0013449764261775968	-6.82647542705624e-4
