word	syllables	suffix	meaning	semantics	ending	cons.cluster	all_vowels	last_vowel	1	2
abonmán	3	-	-upredplatenie; predplatné (na časopis, do divadla ap.)	NA	u	n	aoá	á	1.0322867672166863e-4	-5.935825171706676e-4
absentér	3	-	-akto často neodôvodnene zameškáva prácu	NA	a	r	aeé	é	5.854478486852925e-4	-5.502880512522602e-4
absolutista	5	-	NOT FOUND	NA	u	V	aouia	a	0.00167471172805638	-5.709152925234732e-4
absolutizmus	5	-	NOT FOUND	абстрактное понятие	u	s	aouiu	u	0.0031256091918617523	-0.0015900205458208722
acetón	3	-	-uorg. rozpúšťadlo;	вещество	u	n	aeó	ó	3.8011361879003577e-4	-7.277377857915976e-4
acetylén	4	-	-uzápalný plyn použ. pri zváraní kovov a na svietenie;	вещество	u	n	aeyé	é	8.877446993831761e-4	-6.768919110510103e-4
achát	2	-	-umnohofarebný polodrahokam chalcedón	NA	u	t	aá	á	4.305132060765759e-4	-8.345716792621861e-4
áčkar	2	-	NOT FOUND	NA	a	r	áa	a	9.555191851513329e-4	-0.0010892589154132232
acylpyrín	4	ín	-uliek použ. pri prechladnutí, bolesti hlavy ap.	NA	u	n	ayyí	í	-0.003122148795787282	4.619408859258681e-4
adept	2	-	-azačiatočník (vo vede, umení, v praktickej činnosti);	NA	a	pt	ae	e	0.001224090294224441	0.0019444286789666008
administrátor	5	-	-a 1. správca administrácie2. správca farnosti;	NA	a	r	aiiáo	o	9.488668740038831e-4	-3.8986843228698743e-4
adresát	3	-	-a 1. osoba, ktorej je určená zásielka2. osoba, ktorej je určený prejav: nájsť a-adostať sa k príslušnej osobe;	NA	a	t	aeá	á	1.0775113579888295e-4	-4.6884819346823607e-4
aerobik	4	ik	[a-ero-] -urytmické gymnastické cvičenie pri hudbe s dôrazom na dýchacie cviky: vlna módneho a-u už prešla	NA	u	k	aeoi	i	-0.0022317442229727587	2.7897223608841838e-6
aerodróm	4	-	NOT FOUND	NA	u	m	aeoó	ó	0.0013620174813116896	-5.025794587271234e-4
aeroklub	4	-	[a-ero-] -uspolok šport. letcov, parašutistov a priateľov letectva	NA	u	b	aeou	u	0.002082703075341616	-0.0010013980331370664
aerotaxík	5	ík	NOT FOUND	NA	a	k	aeoaí	í	-0.004187938416500317	8.218322096248124e-4
agát	2	-	-atŕnitý strom so strapcami bielych kvetov, ;	NA	a	t	aá	á	4.305132060765759e-4	-8.345716792621861e-4
agrárnik	3	ik	-a-ci 1. bohatý roľník, statkár v 1. ČSR2. príslušník býv. agrárnej strany;	NA	a	k	aái	i	-0.0032544465295985658	-2.8279642104696123e-5
agregát	3	-	-uzoskupenie, stmelenie: kombajnový a.; hrubozrnný a.	артефакт	u	t	aeá	á	8.099076652606842e-5	-6.067716791863078e-4
agremán	3	-	-u súhlas vlády s ustanovením dipl. zástupcu cudzej krajiny vo vlastnom štáte	NA	u	n	aeá	á	-4.537165166978033e-5	-5.446633300619664e-4
agresor	3	-	-akto robí agresiu, útočník	NA	a	r	aeo	o	-1.8717057916031211e-4	-5.497905686224179e-4
agrobiológ	5	-	NOT FOUND	NA	a	g	aoioó	ó	0.0018155182100571203	-3.768952655685948e-4
agrokomplex	4	-	-ucelok zahŕňajúci poľnohospodársku výrobu a priemyselné odvetvia spracúvajúce poľnohospodárske výrobky al. poskytujúce poľnohospodárske výr. prostriedky	NA	u	x	aooe	e	0.0013001857223779677	0.0019747795702421823
agronóm	3	-	-a-i/-oviaodborník v agronómii;	NA	a	m	aoó	ó	8.937445547538492e-4	-6.384051585802844e-4
agrotechnik	4	ik	-a-ciodborník v agrotechnike;	NA	a	k	aoei	i	-0.0027057876631410766	1.0912182166799909e-4
ajatolláh	4	-	[-olá-] -a-ovia(duchovný) vodca časti mohamedánov (šiitov), ktorí za jediný prameň viery uznávajú korán (nie ústne podanie)	NA	a	h	aaoá	á	0.0010835938538915851	-3.665055431800344e-4
akademik	4	ik	-a-ciriadny člen akadémie vied;	NA	a	k	aaei	i	-0.0024276023906085833	5.00139543203053e-5
akcionár	4	-	-aúčastinár	NA	a	r	aioá	á	8.347415515155363e-4	-3.7267313900393354e-4
akordeón	4	-	-uchromatická ťahacia harmonika s klávesnicou	артефакт	u	n	aoeó	ó	8.860559143902615e-4	-6.129031866662621e-4
akrobat	3	-	-akto robí akrobacie: letecký a.;	NA	a	t	aoa	a	5.843311200527924e-4	-6.51199596665402e-4
aktér	2	-	-aúčastník istej činnosti ver. al. skup. zamerania: a-i podpisovej akcie; všetci a-i konferencie;	NA	a	r	aé	é	9.225068868861188e-4	-9.499103997841618e-4
aktivista	4	-	-uaktívny pomocník nejakého orgánu ;	NA	u	V	aiia	a	0.0013237263640295987	-5.852839093310377e-4
aktív	2	-	-u 1. prac. schôdzka členov al. funkcionárov organizácie2. súbor aktivistov	NA	u	v	aí	í	-0.002185491105141693	-1.5941733962356662e-4
akvamarín	4	ín	-u 1.drahokam modrozelenej farby2.modrozelená farba;	NA	u	n	aaaí	í	-0.003122148795787306	4.61940885925751e-4
akvarelista	5	-	NOT FOUND	NA	u	V	aaeia	a	0.0016747117280563658	-5.709152925234498e-4
akvarista	4	-	NOT FOUND	NA	u	V	aaia	a	0.0013437650684604717	-5.988266050531094e-4
albinizmus	4	-	NOT FOUND	NA	u	s	aiiu	u	0.0022687430153490724	-0.0011010221491148736
